quarter, time, brightness, error
2.2,  55038.314424000004, 0.998481572, 5.3265e-05 
2.2,  55038.334858, 0.998739541, 5.3204e-05 
2.2,  55038.355292, 0.998838305, 5.3272e-05 
2.2,  55038.375726000006, 0.998994231, 5.3214e-05 
2.2,  55038.396159, 0.999328136, 5.3126e-05 
2.2,  55038.416593, 0.999728262, 5.3222e-05 
2.2,  55038.437027, 1.000010729, 5.327e-05 
2.2,  55038.457461000005, 1.000084758, 5.3265e-05 
2.2,  55038.477895, 1.000291944, 5.3255e-05 
2.2,  55038.498329, 1.000388384, 5.3233e-05 
2.2,  55038.518762, 1.000534177, 5.3275e-05 
2.2,  55038.539196000005, 1.000590086, 5.3244e-05 
2.2,  55038.55963, 1.000120521, 5.3301e-05 
2.2,  55038.580064, 0.999999583, 5.3305e-05 
2.2,  55038.600498, 0.999931157, 5.3217e-05 
2.2,  55038.620932000005, 0.999671876, 5.3287e-05 
2.2,  55038.641366, 0.999695361, 5.3293e-05 
2.2,  55038.661799, 0.999578714, 5.3284e-05 
2.2,  55038.682233, 0.999488235, 5.3203e-05 
2.2,  55038.702667000005, 0.999533117, 5.3269e-05 
2.2,  55038.723101, 0.999771059, 5.3279e-05 
2.2,  55038.743535, 1.001053691, 5.3257e-05 
2.2,  55038.763969, 0.999762356, 5.3318e-05 
2.2,  55038.784402000005, 0.999473989, 5.3253e-05 
2.2,  55038.804836, 0.99913758, 5.3272e-05 
2.2,  55038.82527, 0.99919194, 5.3286e-05 
2.2,  55038.845704, 0.999549448, 5.3293e-05 
2.2,  55038.866138000005, 0.999998868, 5.322e-05 
2.2,  55038.886572, 1.000510693, 5.3236e-05 
2.2,  55038.907006, 1.000801802, 5.324e-05 
2.2,  55038.92743900001, 1.000892758, 5.3279e-05 
2.2,  55038.947873000005, 1.000885725, 5.3231e-05 
2.2,  55038.968307, 1.000573397, 5.3293e-05 
2.2,  55039.00917500001, 1.000100255, 5.178e-05 
2.2,  55039.029609000005, 1.000053406, 5.3194e-05 
2.2,  55039.050042, 1.000175238, 5.3215e-05 
2.2,  55039.070476, 1.000608563, 5.3159e-05 
2.2,  55039.090910000006, 1.000786543, 5.3234e-05 
2.2,  55039.111344000004, 1.000523925, 5.3246e-05 
2.2,  55039.131778, 1.000620604, 5.3317e-05 
2.2,  55039.152211, 1.000658512, 5.3269e-05 
2.2,  55039.172645000006, 1.000542045, 5.3331e-05 
2.2,  55039.193079000004, 1.000296354, 5.3257e-05 
2.2,  55039.213513, 1.000333548, 5.3259e-05 
2.2,  55039.233947, 1.000341177, 5.3325e-05 
2.2,  55039.254381000006, 1.000561237, 5.3235e-05 
2.2,  55039.274814000004, 1.00019598, 5.322e-05 
2.2,  55039.295248, 0.999823511, 5.3283e-05 
2.2,  55039.315682, 0.999484956, 5.3312e-05 
2.2,  55039.336116000006, 0.999545276, 5.3228e-05 
2.2,  55039.356550000004, 0.99954617, 5.3246e-05 
2.2,  55039.376984, 0.999581397, 5.32e-05 
2.2,  55039.397418, 0.999766052, 5.3301e-05 
2.2,  55039.417851000006, 1.000082374, 5.3266e-05 
2.2,  55039.438285000004, 1.000106215, 5.3286e-05 
2.2,  55039.458719, 0.999999702, 5.3302e-05 
2.2,  55039.479153, 0.999989033, 5.3285e-05 
2.2,  55039.499587000006, 0.999872088, 5.3279e-05 
2.2,  55039.52002, 1.000138879, 5.3305e-05 
2.2,  55039.540454, 1.000338554, 5.335e-05 
2.2,  55039.560888, 1.000643611, 5.3316e-05 
2.2,  55039.581322000005, 1.000679016, 5.3306e-05 
2.2,  55039.601756000004, 1.00058794, 5.327e-05 
2.2,  55039.62219, 1.000230551, 5.3301e-05 
2.2,  55039.642623, 0.999927759, 5.3328e-05 
2.2,  55039.663057000005, 0.999688208, 5.3226e-05 
2.2,  55039.683491, 0.999556661, 5.327e-05 
2.2,  55039.703925, 0.999876499, 5.3307e-05 
2.2,  55039.724359, 1.000105381, 5.323e-05 
2.2,  55039.744793000005, 1.000320911, 5.3279e-05 
2.2,  55039.765226, 1.000146151, 5.3217e-05 
2.2,  55039.78566, 0.999899268, 5.3309e-05 
